# requirement_level_code	M	M	M	R	O	O	R	O	M	M	O	O	O	O	R	O	O	O	O	O	O	O	O	O	M	M	O	O	O	M	M	M	R	R	R	HR	HR	HR	HR	HR	O	O	O	R	R	R	O	O	O	HR	HR	R	R	HR	R	HR	HR	HR	HR	R	R	R	O	O	HR	HR	R	R	HR	HR	R	R	R	R	R	O	O	R	O	O	R	R	R	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	R	R	R	R	R	O	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
# section	Sample information	Sample information	Sample information	Sample relations	Sample relations	Sample relations	Sample relations	Sample relations	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Project	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample storage	Sample storage	Sample storage	Sample storage	Sample storage	Sample storage	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	User defined	User defined	Environment	Environment	Environment	Environment	Environment	User defined	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Data management	Data management	Sample collection	Nucleic acid extraction	Nucleic acid extraction
samp_name	samp_category	neg_cont_type	pos_cont_type	materialSampleID	sample_derived_from	sample_composed_of	rel_cont_id	biological_rep_relation	decimalLongitude	decimalLatitude	verbatimLongitude	verbatimLatitude	verbatimCoordinateSystem	verbatimSRS	expedition_id	cruiseName	cruiseURL	cruiseStartDate	cruiseEndDate	cruiseLocation	geomeName	geomeURL	expeditionReportName	expeditionReportURL	geo_loc_name	eventDate	eventDurationValue	verbatimEventDate	verbatimEventTime	env_broad_scale	env_local_scale	env_medium	habitat_natural_artificial_0_1	samp_collect_method	samp_collect_device	samp_size	samp_size_unit	samp_store_temp	samp_store_sol	samp_store_dur	samp_store_loc	dna_store_loc	samp_store_method_additional	samp_mat_process	filter_passive_active_0_1	stationed_sample_dur	pump_flow_rate	pump_flow_rate_unit	prefilter_material	size_frac_low	size_frac	filter_diameter	filter_surface_area	filter_material	filter_name	precip_chem_prep	precip_force_prep	precip_time_prep	precip_temp_prep	prepped_samp_store_temp	prepped_samp_store_sol	prepped_samp_store_dur	prep_method_additional	date_ext	samp_vol_we_dna_ext	samp_vol_we_dna_ext_unit	nucl_acid_ext_lysis	nucl_acid_ext_sep	nucl_acid_ext	nucl_acid_ext_kit	nucl_acid_ext_modify	dna_cleanup_0_1	dna_cleanup_method	concentration	concentration_unit	concentration_method	ratioOfAbsorbance260_280	pool_dna_num	nucl_acid_ext_method_additional	samp_weather	minimumDepthInMeters	maximumDepthInMeters	tot_depth_water_col	elev	temp	chlorophyll	light_intensity	ph	ph_meth	salinity	suspend_part_matter	tidal_stage	turbidity	water_current	solar_irradiance	wind_direction	wind_speed	diss_inorg_carb	diss_inorg_carb_unit	diss_inorg_nitro	diss_inorg_nitro_unit	diss_org_carb	diss_org_carb_unit	diss_org_nitro	diss_org_nitro_unit	diss_oxygen	diss_oxygen_unit	tot_diss_nitro	tot_diss_nitro_unit	tot_inorg_nitro	tot_inorg_nitro_unit	tot_nitro	tot_nitro_unit	tot_part_carb	tot_part_carb_unit	tot_org_carb	tot_org_carb_unit	tot_org_c_meth	tot_nitro_content	tot_nitro_content_unit	tot_nitro_cont_meth	tot_carb	tot_carb_unit	part_org_carb	part_org_carb_unit	part_org_nitro	part_org_nitro_unit	nitrate	nitrate_unit	nitrite	nitrite_unit	nitro	nitro_unit	org_carb	org_carb_unit	org_matter	org_matter_unit	org_nitro	org_nitro_unit	dna_conc	dna_conc_unit	ammonium	ammonium_unit	carbonate	carbonate_unit	hydrogen_ion	hydrogen_ion_unit	nitrate_plus_nitrite	nitrate_plus_nitrite_unit	omega_arag	pco2	pco2_unit	phosphate	phosphate_unit	pressure	pressure_unit	silicate	silicate_unit	tot_alkalinity	tot_alkalinity_unit	transmittance	transmittance_unit	serial_number	line_id	station_id	ctd_cast_number	ctd_bottle_number	replicate_number	extract_id	extract_plate	extract_well_number	extract_well_position	biosample_accession	organism	samp_collect_notes	dna_yield	dna_yield_unit
EX2301_D08_09W	sample			EX2301_D08_09W					-125.817309	48.154447					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Nininat Canyon	2023-04-25T22:42:59Z				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														1	L															909.875	909.875			3.64199996					34.35900116																0.349000007	mg/L																																																											DIVE8	Niskin 4								Niskin 4		
EX2301_D08_08W	sample			EX2301_D08_08W					-125.817296	48.154466					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Nininat Canyon	2023-04-25T22:41:22Z				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														1	L															908.8640137	908.8640137			3.63499999					34.36199951																0.379999995	mg/L																																																											DIVE8	Niskin 3								Niskin 3		
EX2301_D08_07W	sample			EX2301_D08_07W					-125.817259	48.154468					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Nininat Canyon	2023-04-25T22:39:59Z				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														1	L															907.7940063	907.7940063			3.622999907					34.36700058																0.382999986	mg/L																																																											DIVE8	Niskin 2								Niskin 2		
EX2301_D08_06W	sample			EX2301_D08_06W					-125.817215	48.154496					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Nininat Canyon	2023-04-25T22:38:29Z				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														1	L															908.6220093	908.6220093			3.627000093					34.36500168																0.386999995	mg/L																																																											DIVE8	Niskin 1								Niskin 1		
EX2301_D07_BLW	negative control	field negative		EX2301_D07_BLW					not applicable: control sample	not applicable: control sample					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Quinault Fault	not applicable: control sample				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														0.5	L															not applicable: control sample	not applicable: control sample			not applicable: control sample					not applicable: control sample																not applicable: control sample	not applicable: control sample																																																											DIVE7									Blank Water Specimen		
EX2301_D07_09W	sample			EX2301_D07_09W					-125.274479	47.297006					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Quinault Fault	2023-04-24T22:18:37Z				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														1	L															1592.13501	1592.13501			2.492000103					34.52899933																1.062999964	mg/L																																																											DIVE7	Niskin 5								Niskin 5		
EX2301_D07_08W	sample			EX2301_D07_08W					-125.274382	47.296996					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Quinault Fault	2023-04-24T22:17:02Z				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														1	L															1592.232056	1592.232056			2.483999968					34.5320015																1.049999952	mg/L																																																											DIVE7	Niskin 4								Niskin 4		
EX2301_D07_07W	sample			EX2301_D07_07W					-125.274434	47.266998					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Quinault Fault	2023-04-24T22:14:33Z				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														1	L															1592.571045	1592.571045			2.503000021					34.52199936																1.080000043	mg/L																																																											DIVE7	Niskin 3								Niskin 3		
EX2301_D07_06W	sample			EX2301_D07_06W					-125.274363	47.296942					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Quinault Fault	2023-04-24T21:50:01Z				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														1	L															1605.206055	1605.206055			2.487999916					34.53099823																1.077000022	mg/L																																																											DIVE7	Niskin 2								Niskin 2		
EX2301_D07_05W	sample			EX2301_D07_05W					-125.274309	47.296898					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Quinault Fault	2023-04-24T21:46:44Z				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														1	L															1610.26001	1610.26001			2.494999886					34.52799988																1.057999969	mg/L																																																											DIVE7	Niskin 1								Niskin 1		
