# requirement_level_code	M	M	M	M	R	R	R	R	O	O	R	R	R	R	R	R	O
# section	PCR	PCR	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Bioinformatics	User defined
samp_name	assay_name	pcr_plate_id	lib_id	seq_run_id	lib_conc	lib_conc_unit	lib_conc_meth	phix_perc	mid_forward	mid_reverse	filename	filename2	checksum_filename	checksum_filename2	associatedSequences	input_read_count	seq_samp_id
EX2301_D08_09W	Metazoa-COI-Leray-Geller		D08-09_S42_L001	OKEX2301_ROV-D2							D08-09_S42_L001_R1_001.fastq.gz	D08-09_S42_L001_R2_001.fastq.gz					
EX2301_D08_09W	Fish-12S-MiFish-Miya		D08-09-12S_S42_L001	OKEX2301_ROV-D2							D08-09-12S_S42_L001_R1_001.fastq.gz	D08-09-12S_S42_L001_R2_001.fastq.gz					
EX2301_D08_09W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D08_09W_18S	OKEX2301_ROV-D2							EX2301_D08_09W_18S_R1.fastq.gz	EX2301_D08_09W_18S_R2.fastq.gz					
EX2301_D08_08W	Metazoa-COI-Leray-Geller		D08-08_S41_L001	OKEX2301_ROV-D2							D08-08_S41_L001_R1_001.fastq.gz	D08-08_S41_L001_R2_001.fastq.gz					
EX2301_D08_08W	Fish-12S-MiFish-Miya		D08-08-12S_S41_L001	OKEX2301_ROV-D2							D08-08-12S_S41_L001_R1_001.fastq.gz	D08-08-12S_S41_L001_R2_001.fastq.gz					
EX2301_D08_08W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D08_08W_18S	OKEX2301_ROV-D2							EX2301_D08_08W_18S_R1.fastq.gz	EX2301_D08_08W_18S_R2.fastq.gz					
EX2301_D08_07W	Metazoa-COI-Leray-Geller		D08-07_S40_L001	OKEX2301_ROV-D2							D08-07_S40_L001_R1_001.fastq.gz	D08-07_S40_L001_R2_001.fastq.gz					
EX2301_D08_07W	Fish-12S-MiFish-Miya		D08-07-12S_S40_L001	OKEX2301_ROV-D2							D08-07-12S_S40_L001_R1_001.fastq.gz	D08-07-12S_S40_L001_R2_001.fastq.gz					
EX2301_D08_07W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D08_07W_18S	OKEX2301_ROV-D2							EX2301_D08_07W_18S_R1.fastq.gz	EX2301_D08_07W_18S_R2.fastq.gz					
EX2301_D08_06W	Metazoa-COI-Leray-Geller		D08-06_S39_L001	OKEX2301_ROV-D2							D08-06_S39_L001_R1_001.fastq.gz	D08-06_S39_L001_R2_001.fastq.gz					
