# requirement_level_code	M	M	M	R	O	O	R	O	M	M	O	O	O	O	R	O	O	O	O	O	O	O	O	O	M	M	O	O	O	M	M	M	R	R	R	HR	HR	HR	HR	HR	O	O	O	R	R	R	O	O	O	HR	HR	R	R	HR	R	HR	HR	HR	HR	R	R	R	O	O	HR	HR	R	R	HR	HR	R	R	R	R	R	O	O	R	O	O	R	R	R	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	R	R	R	R	R	O	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	O	O	O	O
# section	Sample information	Sample information	Sample information	Sample relations	Sample relations	Sample relations	Sample relations	Sample relations	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Project	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample storage	Sample storage	Sample storage	Sample storage	Sample storage	Sample storage	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	User defined	User defined	Environment	Environment	Environment	Environment	Environment	User defined	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Data management	Data management	Sample collection	Nucleic acid extraction	Nucleic acid extraction	User defined	User defined	User defined	User defined
samp_name	samp_category	neg_cont_type	pos_cont_type	materialSampleID	sample_derived_from	sample_composed_of	rel_cont_id	biological_rep_relation	decimalLongitude	decimalLatitude	verbatimLongitude	verbatimLatitude	verbatimCoordinateSystem	verbatimSRS	expedition_id	cruiseName	cruiseURL	cruiseStartDate	cruiseEndDate	cruiseLocation	geomeName	geomeURL	expeditionReportName	expeditionReportURL	geo_loc_name	eventDate	eventDurationValue	verbatimEventDate	verbatimEventTime	env_broad_scale	env_local_scale	env_medium	habitat_natural_artificial_0_1	samp_collect_method	samp_collect_device	samp_size	samp_size_unit	samp_store_temp	samp_store_sol	samp_store_dur	samp_store_loc	dna_store_loc	samp_store_method_additional	samp_mat_process	filter_passive_active_0_1	stationed_sample_dur	pump_flow_rate	pump_flow_rate_unit	prefilter_material	size_frac_low	size_frac	filter_diameter	filter_surface_area	filter_material	filter_name	precip_chem_prep	precip_force_prep	precip_time_prep	precip_temp_prep	prepped_samp_store_temp	prepped_samp_store_sol	prepped_samp_store_dur	prep_method_additional	date_ext	samp_vol_we_dna_ext	samp_vol_we_dna_ext_unit	nucl_acid_ext_lysis	nucl_acid_ext_sep	nucl_acid_ext	nucl_acid_ext_kit	nucl_acid_ext_modify	dna_cleanup_0_1	dna_cleanup_method	concentration	concentration_unit	concentration_method	ratioOfAbsorbance260_280	pool_dna_num	nucl_acid_ext_method_additional	samp_weather	minimumDepthInMeters	maximumDepthInMeters	tot_depth_water_col	elev	temp	chlorophyll	light_intensity	ph	ph_meth	salinity	suspend_part_matter	tidal_stage	turbidity	water_current	solar_irradiance	wind_direction	wind_speed	diss_inorg_carb	diss_inorg_carb_unit	diss_inorg_nitro	diss_inorg_nitro_unit	diss_org_carb	diss_org_carb_unit	diss_org_nitro	diss_org_nitro_unit	diss_oxygen	diss_oxygen_unit	tot_diss_nitro	tot_diss_nitro_unit	tot_inorg_nitro	tot_inorg_nitro_unit	tot_nitro	tot_nitro_unit	tot_part_carb	tot_part_carb_unit	tot_org_carb	tot_org_carb_unit	tot_org_c_meth	tot_nitro_content	tot_nitro_content_unit	tot_nitro_cont_meth	tot_carb	tot_carb_unit	part_org_carb	part_org_carb_unit	part_org_nitro	part_org_nitro_unit	nitrate	nitrate_unit	nitrite	nitrite_unit	nitro	nitro_unit	org_carb	org_carb_unit	org_matter	org_matter_unit	org_nitro	org_nitro_unit	dna_conc	dna_conc_unit	ammonium	ammonium_unit	carbonate	carbonate_unit	hydrogen_ion	hydrogen_ion_unit	nitrate_plus_nitrite	nitrate_plus_nitrite_unit	omega_arag	pco2	pco2_unit	phosphate	phosphate_unit	pressure	pressure_unit	silicate	silicate_unit	tot_alkalinity	tot_alkalinity_unit	transmittance	transmittance_unit	serial_number	line_id	station_id	ctd_cast_number	ctd_bottle_number	replicate_number	extract_id	extract_plate	extract_well_number	extract_well_position	biosample_accession	organism	samp_collect_notes	dna_yield	dna_yield_unit	bcid	collectorList	continentOcean	microHabitat
EX2107_D14_06W	sample			EX2107_D14_06W					-79.262	28.5385					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Million Mounds South	2021-11-14T17:43:38Z	missing: not collected	2021-11-14T17:43:38Z	2021-11-14T17:43:38Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.71	L															774.076	774.076	776		7.901					35.134																5.013	mg/L																																																								EX2107_D14_06W			DIVE14	not applicable: sample group											https://n2t.net/ark:/21547/Fff2EX2107_D14_06	NOAA Ocean Exploration	Atlantic Ocean	Benthic Boundary Layer
EX2107_D14_06W_AW	sample			EX2107_D14_06W					-79.262	28.5385					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Million Mounds South	2021-11-14T17:43:38Z	missing: not collected	2021-11-14T17:43:38Z	2021-11-14T17:43:38Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.71	L															774.076	774.076	776		7.901					35.134																5.013	mg/L																																																								EX2107_D14_06W			DIVE14	not applicable: sample group											https://n2t.net/ark:/21547/Fff2EX2107_D14_06	NOAA Ocean Exploration	Atlantic Ocean	Benthic Boundary Layer
EX2107_D14_08W	sample			EX2107_D14_08W					-79.2602	28.53965					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Million Mounds South	2021-11-14T20:19:18Z	missing: not collected	2021-11-14T20:19:18Z	2021-11-14T20:19:18Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.71	L															765.715	765.715	768		7.944					35.135																4.957	mg/L																																																								EX2107_D14_08W			DIVE14	not applicable: sample group											https://n2t.net/ark:/21547/Fff2EX2107_D14_08	NOAA Ocean Exploration	Atlantic Ocean	Benthic Boundary Layer
EX2107_D14_08W_AW	sample			EX2107_D14_08W					-79.2602	28.53965					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Million Mounds South	2021-11-14T20:19:18Z	missing: not collected	2021-11-14T20:19:18Z	2021-11-14T20:19:18Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.71	L															765.715	765.715	768		7.944					35.135																4.957	mg/L																																																								EX2107_D14_08W			DIVE14	not applicable: sample group											https://n2t.net/ark:/21547/Fff2EX2107_D14_08	NOAA Ocean Exploration	Atlantic Ocean	Benthic Boundary Layer
EX2107_D14_09W	sample			EX2107_D14_09W					-79.2597	28.53967					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Million Mounds South	2021-11-14T20:41:52Z	missing: not collected	2021-11-14T20:41:52Z	2021-11-14T20:41:52Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.71	L															760.357	760.357	762		8.232					35.135																4.647	mg/L																																																								EX2107_D14_09W			DIVE14	not applicable: sample group											https://n2t.net/ark:/21547/Fff2EX2107_D14_09	NOAA Ocean Exploration	Atlantic Ocean	Benthic Boundary Layer
EX2107_D14_09W_AW	sample			EX2107_D14_09W					-79.2597	28.53967					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Million Mounds South	2021-11-14T20:41:52Z	missing: not collected	2021-11-14T20:41:52Z	2021-11-14T20:41:52Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.71	L															760.357	760.357	762		8.232					35.135																4.647	mg/L																																																								EX2107_D14_09W			DIVE14	not applicable: sample group											https://n2t.net/ark:/21547/Fff2EX2107_D14_09	NOAA Ocean Exploration	Atlantic Ocean	Benthic Boundary Layer
EX2201_D01_01W	sample			EX2201_D01_01W					-87.87330627	29.2124176					EX2201	2022 ROV and Mapping Shakedown	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2201/welcome.html	2022-02-23 00:00:00	2022-03-03 00:00:00	Gulf of Mexico	EX2201_eDNA (EX2201_eDNA)	https://geome-db.org/record/ark:/21547/FiV2	EX-22-01	https://repository.library.noaa.gov/view/noaa/43052	Gulf of Mexico: Mississippi Mud	2022-02-24T20:43:41Z	missing: not collected	2022-02-24T20:43:41Z	2022-02-24T20:43:41Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		DNA/RNA Shield												0.45														1.7	L															489.545	489.545	missing: not provided		7.937					34.947																3.711	mg/L																																																								EX2201_D01_01W			DIVE01	not applicable: sample group								Water sample			https://n2t.net/ark:/21547/FiX2EX2201_D01_01W	NOAA Ocean Exploration	Atlantic Ocean	
EX2201_D01_BLW	negative control	field negative		EX2201_D01_BLW					not applicable: control sample	not applicable: control sample					EX2201	2022 ROV and Mapping Shakedown	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2201/welcome.html	2022-02-23 00:00:00	2022-03-03 00:00:00	Gulf of Mexico	EX2201_eDNA (EX2201_eDNA)	https://geome-db.org/record/ark:/21547/FiV2	EX-22-01	https://repository.library.noaa.gov/view/noaa/43052	not applicable: control sample	not applicable: control sample	missing: not collected	2022, 02, 24	missing: not provided	not applicable: negative control	not applicable: negative control	not applicable: negative control	not applicable: control sample	not applicable: control sample	not applicable: control sample	not applicable: control sample	not applicable: control sample		Longmire's Buffer Solution												missing: not provided														missing: not provided	missing: not provided															not applicable: control sample	not applicable: control sample	missing: not provided		not applicable: control sample					not applicable: control sample																not applicable: control sample	not applicable: control sample																																																								EX2201_D01_BLW			not applicable: control sample	not applicable: control sample								Blank Water Specimen			https://n2t.net/ark:/21547/FiX2EX2201_D01_BLANK	NOAA Ocean Exploration	Atlantic Ocean	
EX2201_D04_01W	sample			EX2201_D04_01W					-85.05290222	26.83447075					EX2201	2022 ROV and Mapping Shakedown	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2201/welcome.html	2022-02-23 00:00:00	2022-03-03 00:00:00	Gulf of Mexico	EX2201_eDNA (EX2201_eDNA)	https://geome-db.org/record/ark:/21547/FiV2	EX-22-01	https://repository.library.noaa.gov/view/noaa/43052	Gulf of Mexico: Step Canyon	2022-02-27T19:55:10Z	missing: not collected	2022-02-27T19:55:10Z	2022-02-27T19:55:10Z	marine biome [ENVO:00000447]	marine bathypelagic zone [ENVO:00000214]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		DNA/RNA Shield												0.45														1.7	L															2912.524	2912.524	missing: not provided		4.363					34.971																6.632	mg/L																																																								EX2201_D04_01W			DIVE04	not applicable: sample group								Water sample			https://n2t.net/ark:/21547/FiX2EX2201_D04_01W	NOAA Ocean Exploration	Atlantic Ocean	
EX2201_D04_02W	sample			EX2201_D04_02W					-85.05232239	26.83506012					EX2201	2022 ROV and Mapping Shakedown	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2201/welcome.html	2022-02-23 00:00:00	2022-03-03 00:00:00	Gulf of Mexico	EX2201_eDNA (EX2201_eDNA)	https://geome-db.org/record/ark:/21547/FiV2	EX-22-01	https://repository.library.noaa.gov/view/noaa/43052	Gulf of Mexico: Step Canyon	2022-02-27T20:53:58Z	missing: not collected	2022-02-27T20:53:58Z	2022-02-27T20:53:58Z	marine biome [ENVO:00000447]	marine bathypelagic zone [ENVO:00000214]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.7	L															2864.571	2864.571	missing: not provided		4.373					34.971																6.62	mg/L																																																								EX2201_D04_02W			DIVE04	not applicable: sample group								Water sample			https://n2t.net/ark:/21547/FiX2EX2201_D04_02W	NOAA Ocean Exploration	Atlantic Ocean	
EX2201_D04_03W	sample			EX2201_D04_03W					-85.05233765	26.83507347					EX2201	2022 ROV and Mapping Shakedown	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2201/welcome.html	2022-02-23 00:00:00	2022-03-03 00:00:00	Gulf of Mexico	EX2201_eDNA (EX2201_eDNA)	https://geome-db.org/record/ark:/21547/FiV2	EX-22-01	https://repository.library.noaa.gov/view/noaa/43052	Gulf of Mexico: Step Canyon	2022-02-27T20:58:39Z	missing: not collected	2022-02-27T20:58:39Z	2022-02-27T20:58:39Z	marine biome [ENVO:00000447]	marine bathypelagic zone [ENVO:00000214]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.7	L															2864.943	2864.943	missing: not provided		4.434					34.932																6.616	mg/L																																																								EX2201_D04_03W			DIVE04	not applicable: sample group								Water sample			https://n2t.net/ark:/21547/FiX2EX2201_D04_03W	NOAA Ocean Exploration	Atlantic Ocean	
EX2201_D04_BLW	negative control	field negative		EX2201_D04_BLW					not applicable: control sample	not applicable: control sample					EX2201	2022 ROV and Mapping Shakedown	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2201/welcome.html	2022-02-23 00:00:00	2022-03-03 00:00:00	Gulf of Mexico	EX2201_eDNA (EX2201_eDNA)	https://geome-db.org/record/ark:/21547/FiV2	EX-22-01	https://repository.library.noaa.gov/view/noaa/43052	not applicable: control sample	not applicable: control sample	missing: not collected	2022, 02, 27	missing: not provided	not applicable: negative control	not applicable: negative control	not applicable: negative control	not applicable: control sample	not applicable: control sample	not applicable: control sample	not applicable: control sample	not applicable: control sample		Longmire's Buffer Solution												missing: not provided														missing: not provided	missing: not provided															not applicable: control sample	not applicable: control sample	missing: not provided		not applicable: control sample					not applicable: control sample																not applicable: control sample	not applicable: control sample																																																								EX2201_D04_BLW			not applicable: control sample	not applicable: control sample								Blank Water Specimen			https://n2t.net/ark:/21547/FiX2EX2201_D04_BLANK	NOAA Ocean Exploration	Atlantic Ocean	
EX2201_D06_02W	sample			EX2201_D06_02W					-84.07403564	24.11741829					EX2201	2022 ROV and Mapping Shakedown	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2201/welcome.html	2022-02-23 00:00:00	2022-03-03 00:00:00	Gulf of Mexico	EX2201_eDNA (EX2201_eDNA)	https://geome-db.org/record/ark:/21547/FiV2	EX-22-01	https://repository.library.noaa.gov/view/noaa/43052	Gulf of Mexico: Southernmost Canyon	2022-03-01T17:31:18Z	missing: not collected	2022-03-01T17:31:18Z	2022-03-01T17:31:18Z	marine biome [ENVO:00000447]	marine bathypelagic zone [ENVO:00000214]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		DNA/RNA Shield												0.45														1.7	L															1823.744	1823.744	missing: not provided		4.31					34.98																6.722	mg/L																																																								EX2201_D06_02W			DIVE06	not applicable: sample group								Water sample			https://n2t.net/ark:/21547/FiX2EX2201_D06_02W	NOAA Ocean Exploration	Atlantic Ocean	
EX2201_D06_BLW	negative control	field negative		EX2201_D06_BLW					not applicable: control sample	not applicable: control sample					EX2201	2022 ROV and Mapping Shakedown	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2201/welcome.html	2022-02-23 00:00:00	2022-03-03 00:00:00	Gulf of Mexico	EX2201_eDNA (EX2201_eDNA)	https://geome-db.org/record/ark:/21547/FiV2	EX-22-01	https://repository.library.noaa.gov/view/noaa/43052	not applicable: control sample	not applicable: control sample	missing: not collected	2022, 03, 01	missing: not provided	not applicable: negative control	not applicable: negative control	not applicable: negative control	not applicable: control sample	not applicable: control sample	not applicable: control sample	not applicable: control sample	not applicable: control sample		Longmire's Buffer Solution												missing: not provided														missing: not provided	missing: not provided															not applicable: control sample	not applicable: control sample	missing: not provided		not applicable: control sample					not applicable: control sample																not applicable: control sample	not applicable: control sample																																																								EX2201_D06_BLW			not applicable: control sample	not applicable: control sample								Blank Water Specimen			https://n2t.net/ark:/21547/FiX2EX2201_D06_BLANK	NOAA Ocean Exploration	Atlantic Ocean	
EX2201_D07_01W	sample			EX2201_D07_01W					-84.09389496	24.13213921					EX2201	2022 ROV and Mapping Shakedown	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2201/welcome.html	2022-02-23 00:00:00	2022-03-03 00:00:00	Gulf of Mexico	EX2201_eDNA (EX2201_eDNA)	https://geome-db.org/record/ark:/21547/FiV2	EX-22-01	https://repository.library.noaa.gov/view/noaa/43052	Gulf of Mexico: Southernmost Canyon Ridge 2	2022-03-02T17:55:02Z	missing: not collected	2022-03-02T17:55:02Z	2022-03-02T17:55:02Z	marine biome [ENVO:00000447]	marine bathypelagic zone [ENVO:00000214]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer solution												0.45														1.7	L															1738.131	1738.131	missing: not provided		4.314					34.966																6.684	mg/L																																																								EX2201_D07_01W			DIVE07	not applicable: sample group								Water sample			https://n2t.net/ark:/21547/FiX2EX2201_D07_01W	NOAA Ocean Exploration	Atlantic Ocean	
EX2201_D07_BLW	negative control	field negative		EX2201_D07_BLW					not applicable: control sample	not applicable: control sample					EX2201	2022 ROV and Mapping Shakedown	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2201/welcome.html	2022-02-23 00:00:00	2022-03-03 00:00:00	Gulf of Mexico	EX2201_eDNA (EX2201_eDNA)	https://geome-db.org/record/ark:/21547/FiV2	EX-22-01	https://repository.library.noaa.gov/view/noaa/43052	not applicable: control sample	not applicable: control sample	missing: not collected	2022, 03, 02	missing: not provided	not applicable: negative control	not applicable: negative control	not applicable: negative control	not applicable: control sample	not applicable: control sample	not applicable: control sample	not applicable: control sample	not applicable: control sample		Longmire's Buffer Solution												missing: not provided														missing: not provided	missing: not provided															not applicable: control sample	not applicable: control sample	missing: not provided		not applicable: control sample					not applicable: control sample																not applicable: control sample	not applicable: control sample																																																								EX2201_D07_BLW			not applicable: control sample	not applicable: control sample								Blank Water Specimen			https://n2t.net/ark:/21547/FiX2EX2201_D07_BLANK	NOAA Ocean Exploration	Atlantic Ocean	
EX2203_ROS03_B01	sample			EX2203_ROS03_B01					not applicable: control sample	not applicable: control sample					EX2203	2022 Puerto Rico Mapping and Deep-Sea Camera Demonstration 	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2203/welcome.html	2022-04-02 00:00:00	2022-04-26 00:00:00	West Atlantic	EX2203_eDNA (EX2203_eDNA)	https://geome-db.org/record/ark:/21547/Fid2	EX-22-03	https://repository.library.noaa.gov/view/noaa/40460	West Atlantic	2022-04-08 18:46:24	missing: not collected	2022-04-08 18:46:24	2022-04-08 18:46:24	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	CTD rosette system on Okeanos Explorer	CTD	10	L		missing: not provided												0.45														2	L															995	995	missing: not provided		missing: not provided					missing: not provided																missing: not provided	missing: not provided																																																								EX2203_ROS03_B01			ROS03	B01								Max depth of cast						
EX2203_ROS03_B02	sample			EX2203_ROS03_B02					not applicable: control sample	not applicable: control sample					EX2203	2022 Puerto Rico Mapping and Deep-Sea Camera Demonstration 	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2203/welcome.html	2022-04-02 00:00:00	2022-04-26 00:00:00	West Atlantic	EX2203_eDNA (EX2203_eDNA)	https://geome-db.org/record/ark:/21547/Fid2	EX-22-03	https://repository.library.noaa.gov/view/noaa/40460	West Atlantic	2022-04-08 18:59:38	missing: not collected	2022-04-08 18:59:38	2022-04-08 18:59:38	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	CTD rosette system on Okeanos Explorer	CTD	10	L		missing: not provided												0.45														2	L															698	698	missing: not provided		missing: not provided					missing: not provided																missing: not provided	missing: not provided																																																								EX2203_ROS03_B02			ROS03	B02								Below the deep scattering layer (DSL)						
EX2203_ROS03_B03	sample			EX2203_ROS03_B03					not applicable: control sample	not applicable: control sample					EX2203	2022 Puerto Rico Mapping and Deep-Sea Camera Demonstration 	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2203/welcome.html	2022-04-02 00:00:00	2022-04-26 00:00:00	West Atlantic	EX2203_eDNA (EX2203_eDNA)	https://geome-db.org/record/ark:/21547/Fid2	EX-22-03	https://repository.library.noaa.gov/view/noaa/40460	West Atlantic	2022-04-08 19:09:19	missing: not collected	2022-04-08 19:09:19	2022-04-08 19:09:19	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	CTD rosette system on Okeanos Explorer	CTD	10	L		missing: not provided												0.45														2	L															449	449	missing: not provided		missing: not provided					missing: not provided																missing: not provided	missing: not provided																																																								EX2203_ROS03_B03			ROS03	B03								Within one DSL seen using the 38 kHz EK						
EX2203_ROS03_B04	sample			EX2203_ROS03_B04					not applicable: control sample	not applicable: control sample					EX2203	2022 Puerto Rico Mapping and Deep-Sea Camera Demonstration 	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2203/welcome.html	2022-04-02 00:00:00	2022-04-26 00:00:00	West Atlantic	EX2203_eDNA (EX2203_eDNA)	https://geome-db.org/record/ark:/21547/Fid2	EX-22-03	https://repository.library.noaa.gov/view/noaa/40460	West Atlantic	2022-04-08 19:21:05	missing: not collected	2022-04-08 19:21:05	2022-04-08 19:21:05	marine biome [ENVO:00000447]	marine epipelagic zone [ENVO:00000212]	sea water [ENVO:00002149]	0	CTD rosette system on Okeanos Explorer	CTD	10	L		missing: not provided												0.45														2	L															151	151	missing: not provided		missing: not provided					missing: not provided																missing: not provided	missing: not provided																																																								EX2203_ROS03_B04			ROS03	B04								Within the uppermost DSL seen using the 38 kHZ EK						
EX2203_ROS03_B05	sample			EX2203_ROS03_B05					not applicable: control sample	not applicable: control sample					EX2203	2022 Puerto Rico Mapping and Deep-Sea Camera Demonstration 	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2203/welcome.html	2022-04-02 00:00:00	2022-04-26 00:00:00	West Atlantic	EX2203_eDNA (EX2203_eDNA)	https://geome-db.org/record/ark:/21547/Fid2	EX-22-03	https://repository.library.noaa.gov/view/noaa/40460	West Atlantic	2022-04-08 19:24:41	missing: not collected	2022-04-08 19:24:41	2022-04-08 19:24:41	marine biome [ENVO:00000447]	marine epipelagic zone [ENVO:00000212]	sea water [ENVO:00002149]	0	CTD rosette system on Okeanos Explorer	CTD	10	L		missing: not provided												0.45														2	L															83	83	missing: not provided		missing: not provided					missing: not provided																missing: not provided	missing: not provided																																																								EX2203_ROS03_B05			ROS03	B05								Rough estimate of chlorophyll max layer, fluorometer/turbidity sensor was not working						
EX2203_ROS03_B06	sample			EX2203_ROS03_B06					not applicable: control sample	not applicable: control sample					EX2203	2022 Puerto Rico Mapping and Deep-Sea Camera Demonstration 	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2203/welcome.html	2022-04-02 00:00:00	2022-04-26 00:00:00	West Atlantic	EX2203_eDNA (EX2203_eDNA)	https://geome-db.org/record/ark:/21547/Fid2	EX-22-03	https://repository.library.noaa.gov/view/noaa/40460	West Atlantic	2022-04-08 19:29:24	missing: not collected	2022-04-08 19:29:24	2022-04-08 19:29:24	marine biome [ENVO:00000447]	marine epipelagic zone [ENVO:00000212]	sea water [ENVO:00002149]	0	CTD rosette system on Okeanos Explorer	CTD	10	L		missing: not provided												0.45														2	L															4	4	missing: not provided		missing: not provided					missing: not provided																missing: not provided	missing: not provided																																																								EX2203_ROS03_B06			ROS03	B06								Surface layer sample						
