featureid	Control10_20190721	Control12_20190731	Control9_20190715	ExtNeg_20190910	ExtNeg_20190918	ExtNeg_20191028	ExtNeg_20191031	GU190706-CTD11-220	GU190707-CTD13-310	GU190707-CTD14-315	GU190708-CTD16-252	GU190708-CTD17-171	GU190709-CTD20-280	GU190710-CTD22-245	GU190710-CTD23-190	GU190714-CTD25-185	GU190714-CTD26-260	GU190715-CTD28-310	GU190721-CTD31-205	GU190722-CTD33-205	GU190724-CTD36-310	GU190727-CTD40-210	GU190727-CTD41B-145	GU190728-CTD43-245	GU190728-CTD44B-125	GU190729-CTD46-240	GU190729-CTD47-140	GU190731-CTD50-150	PCRNeg
88af4afd540d8b1241bbf5bd1e2be55d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14487	0	0	0	0
14fd2b7d0e9d862490851cf535afcf5f	0	0	0	0	0	0	0	0	28	6118	2677	0	4	0	0	0	0	0	0	0	5340	0	0	0	0	0	0	0	0
92693323f831e69117617606814ae81f	0	0	0	0	0	0	0	0	12166	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	14	0	0
6633cf9a39c09fe169bbe7a614d1e666	0	0	0	0	0	0	0	0	2	0	0	0	0	1618	0	6761	1638	0	0	0	0	3	2026	0	0	0	0	0	0
25fc3b356848470a59a39eb4867f395e	0	0	0	0	0	0	0	0	0	481	642	0	0	0	0	0	0	10829	0	0	38	0	0	0	0	0	0	0	0
a03c9ac910eb4ecfb8c000676b203e5d	0	0	0	0	0	0	0	0	46	9925	0	0	0	1764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7a101658aa49ead88421d4b1875a40a2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	11503	0	0	0	0
0df37a1b74088f0e7410a1b78cada881	0	0	3	0	0	0	0	0	12	0	471	0	0	4387	0	2316	0	0	0	0	3815	114	0	0	0	0	0	0	0
bae49dfe40cd2cea7f95cf69076002f3	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	7	10908	0	0	0	0	0	0	0	0	0	0	0
af5972e637365558d36954fcb5ceac7e	0	0	0	0	0	0	0	0	31	9857	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
0f4119bdb289037b21f335ea6631b51d	0	0	0	0	0	0	0	0	29	6869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8961e2d14d8b0510763256de80a000a2	0	0	0	0	0	0	0	0	42	0	0	0	0	6729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71e6056a57e47b60dd5761bbb7128e57	0	0	0	0	0	0	0	0	15	0	2540	0	0	3817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3d11d4e65502731003f7b564cf58a4d3	0	0	0	0	0	0	0	0	0	0	382	0	0	1026	0	0	0	0	0	683	0	0	0	0	0	0	4278	0	0
b705c6bbf8ee5676361026a0b6bcdce6	0	3	0	0	0	0	0	818	18	0	0	0	0	0	9	0	0	0	0	0	0	0	3162	0	0	0	0	2260	0
391932cd6e322bd926c295b2f2ade4a4	0	0	0	0	2	0	0	0	127	4591	2	0	0	0	0	0	25	640	0	0	72	0	0	810	0	0	0	0	0
33efbea1afd7586b8ac6d70b01f39cbe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5156	0	0	0	0	963	0	0	0	0	0	0	0
1152b8e0093caafd4c324b0991dd0fdc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5785	0	0	0	0	0	0	0	0	0	0	0
