# requirement_level_code	M	M	M	M	R	R	R	R	O	O	R	R	R	R	R	R
# section	PCR	PCR	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Bioinformatics
samp_name	assay_name	pcr_plate_id	lib_id	seq_run_id	lib_conc	lib_conc_unit	lib_conc_meth	phix_perc	mid_forward	mid_reverse	filename	filename2	checksum_filename	checksum_filename2	associatedSequences	input_read_count
GU190710-CTD23-190	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190710-CTD23-190_MiFish_S37	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190710-CTD23-190_MiFish_S37_L001_R1_001.fastq.gz	GU190710-CTD23-190_MiFish_S37_L001_R2_001.fastq.gz				
GU190714-CTD25-185	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190714-CTD25-185_MiFish_S38	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190714-CTD25-185_MiFish_S38_L001_R1_001.fastq.gz	GU190714-CTD25-185_MiFish_S38_L001_R2_001.fastq.gz				
GU190714-CTD26-260	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190714-CTD26-260_MiFish_S39	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190714-CTD26-260_MiFish_S39_L001_R1_001.fastq.gz	GU190714-CTD26-260_MiFish_S39_L001_R2_001.fastq.gz				
GU190715-CTD28-310	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190715-CTD28-310_MiFish_S40	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190715-CTD28-310_MiFish_S40_L001_R1_001.fastq.gz	GU190715-CTD28-310_MiFish_S40_L001_R2_001.fastq.gz				
GU190721-CTD31-205	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190721-CTD31-205_MiFish_S41	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190721-CTD31-205_MiFish_S41_L001_R1_001.fastq.gz	GU190721-CTD31-205_MiFish_S41_L001_R2_001.fastq.gz				
GU190722-CTD33-205	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190722-CTD33-205_MiFish_S42	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190722-CTD33-205_MiFish_S42_L001_R1_001.fastq.gz	GU190722-CTD33-205_MiFish_S42_L001_R2_001.fastq.gz				
GU190724-CTD36-310	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190724-CTD36-310_MiFish_S43	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190724-CTD36-310_MiFish_S43_L001_R1_001.fastq.gz	GU190724-CTD36-310_MiFish_S43_L001_R2_001.fastq.gz				
GU190727-CTD40-210	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190727-CTD40-210_MiFish_S44	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190727-CTD40-210_MiFish_S44_L001_R1_001.fastq.gz	GU190727-CTD40-210_MiFish_S44_L001_R2_001.fastq.gz				
GU190727-CTD41B-145	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190727-CTD41B-145_MiFish_S45	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190727-CTD41B-145_MiFish_S45_L001_R1_001.fastq.gz	GU190727-CTD41B-145_MiFish_S45_L001_R2_001.fastq.gz				
GU190728-CTD43-245	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190728-CTD43-245_MiFish_S46	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190728-CTD43-245_MiFish_S46_L001_R1_001.fastq.gz	GU190728-CTD43-245_MiFish_S46_L001_R2_001.fastq.gz				
GU190728-CTD44B-125	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190728-CTD44B-125_MiFish_S47	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190728-CTD44B-125_MiFish_S47_L001_R1_001.fastq.gz	GU190728-CTD44B-125_MiFish_S47_L001_R2_001.fastq.gz				
GU190729-CTD46-240	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190729-CTD46-240_MiFish_S48	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190729-CTD46-240_MiFish_S48_L001_R1_001.fastq.gz	GU190729-CTD46-240_MiFish_S48_L001_R2_001.fastq.gz				
GU190729-CTD47-140	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190729-CTD47-140_MiFish_S49	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190729-CTD47-140_MiFish_S49_L001_R1_001.fastq.gz	GU190729-CTD47-140_MiFish_S49_L001_R2_001.fastq.gz				
GU190731-CTD50-150	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190731-CTD50-150_MiFish_S50	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190731-CTD50-150_MiFish_S50_L001_R1_001.fastq.gz	GU190731-CTD50-150_MiFish_S50_L001_R2_001.fastq.gz				
